rank,name,slug,tvl,category,chains,defillama_github,open_source_flag,tvl_code_path,best_source_repo,best_source_score,best_source_language,best_source_description
52,Centrifuge Protocol,centrifuge-protocol,1544707931.43,RWA,Ethereum;Avalanche;Plume Mainnet;Pharos;Monad;Base;Binance;Optimism;Arbitrum;Hyperliquid L1,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/centrifuge/index.js,,,,
53,Pendle,pendle,1542248829.04,Yield,Ethereum;Plasma;Arbitrum;Hyperliquid L1;Base;Binance;Sonic;Mantle;Avalanche;Optimism;Berachain,pendle-finance,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/pendle/index.js,pendle-finance/pendle-core-v2-public,13,Solidity,
54,HashKey Exchange,hashkey-exchange,1503695427.14,CEX,Bitcoin;Ethereum;Solana;Tron;Doge;Aptos;Avalanche;TON;Arbitrum;Optimism;Polygon;Polkadot;Litecoin,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/hashkey-exchange/index.js,,,,
55,Bitstamp,bitstamp,1484907218.84,CEX,Ethereum;Bitcoin;Ripple;Solana;Avalanche;Near;Cardano;XDC;Sui;Litecoin,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/bitstamp/index.js,,,,
56,USDD,usdd,1480781185.63,CDP,Tron;Ethereum;Binance,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/usdd-io/index.js,,,,
57,Gauntlet,gauntlet,1441734119.59,Risk Curators,Binance;Ethereum;Base;Katana;Solana;Optimism;Arbitrum;Polygon;Hyperliquid L1;Unichain,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/gauntlet/index.js,,,,
58,Bitkub,bitkub,1378327478.04,CEX,Bitcoin;Ethereum;Ripple;Binance;Solana;Cardano;Optimism;Arbitrum;Doge;Tron;Avalanche;Polygon;Base;Algorand;Scroll;Aptos;CORE;zkSync Era;Mantle;TON;Fantom;Litecoin,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/bitkub-cex/index.js,,,,
59,Kelp,kelp,1375778476.38,Liquid Restaking,Ethereum;Arbitrum;Optimism;Manta;Mode;Blast;Scroll;Base;Linea;X Layer;zkSync Era;Zircuit;Swellchain;Hemi;Berachain;Sonic,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/kelp-dao/index.js,,,,
60,Figure Markets Exchange,figure-markets-exchange,1355438527.02,OTC Marketplace,Provenance,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/figure-markets/index.js,,,,
61,Poloniex,poloniex,1291077639.06,CEX,Bitcoin;Ethereum;Ripple;Tron;EthereumClassic;Stellar;Solana;Arbitrum;Optimism;Cardano;Polygon,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/poloniex-cex/index.js,,,,
