rank,name,slug,tvl,category,chains,defillama_github,open_source_flag,tvl_code_path,best_source_repo,best_source_score,best_source_language,best_source_description
146,Marinade Liquid Staking,marinade-liquid-staking,270923868.07,Liquid Staking,Solana,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/marinade.js,,,,
147,Defi Saver,defi-saver,269172655.94,CDP Manager,Ethereum;Arbitrum;Optimism;Base,defisaver,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/defisaver.js,defisaver/defisaver-v3-contracts,17,Solidity,All the contracts related to the Defi Saver ecosystem
148,Re,re,268218591.63,RWA,Ethereum;Base;Avalanche;Arbitrum,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/re-protocol/index.js,,,,
149,BitFi Basis,bitfi-basis,267765593.31,Basis Trading,Binance;Ethereum;Hemi;Base;CORE;Bitlayer,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/bitfi-cedefi/index.js,,,,
150,ether.fi Liquid,ether.fi-liquid,260911759.57,Onchain Capital Allocator,Ethereum,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/etherfi-liquid/index.js,,,,
151,WEEX,weex,259061395.5,CEX,Ethereum;Bitcoin;Tron;Binance;Solana;Optimism;Avalanche;Arbitrum;Base;TON;Polygon,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/weex-cex/index.js,,,,
152,Orca DEX,orca-dex,251040759.53,Dexs,Solana;Eclipse,,False,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/orca/index.js,,,,
153,b14g,b14g,249188087.94,Restaking,Bitcoin;CORE;Babylon Genesis,b14glabs,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/b14g/index.js,b14glabs/btc-signature-verify,10,Solidity,Verify BTC signature in EVM contract
154,Benqi Staked Avax,benqi-staked-avax,246753676.17,Liquid Staking,Avalanche,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/benqi-staked-avax/index.js,,,,
155,Mantle Bridge,mantle-bridge,244417198.61,Canonical Bridge,Ethereum,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/mantle/index.js,,,,
156,Superstate USCC,superstate-uscc,237065820.53,Basis Trading,Ethereum;Solana;Plume Mainnet,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/superstate-uscc/index.js,,,,
157,Drift Staked SOL,drift-staked-sol,236031858.16,Liquid Staking,Solana,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/registries/solanaStakePool.js,,,,
158,PumpSwap,pumpswap,234933807.92,Dexs,Solana,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/pump-swap/index.js,,,,
159,Marinade Native,marinade-native,231234886.52,Staking Pool,Solana,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/registries/solanaStakePool.js,,,,
160,Lombard BTC.b,lombard-btc.b,231191977.31,Bridge,Bitcoin,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/lombard-btcb/index.js,,,,
161,GTBTC,gtbtc,230417993.67,Restaked BTC,Bitcoin,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/gate-btc/index.js,,,,
162,FAssets,fassets,228726362.44,Bridge,Ripple;Flare,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/flare-asset/index.js,,,,
163,World Chain,world-chain,226224224.72,Canonical Bridge,Ethereum,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/wc/index.js,,,,
164,AFI Protocol,afi-protocol,225540544.69,Farm,Base;Ethereum;Monad,Artificial-Financial-Intelligence,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/afiprotocol/index.js,Artificial-Financial-Intelligence/afiUSD,10,Solidity,"A ERC4626-compliant yield-bearing vault with withdrawal mechanisms, yield distribution, and multi-protocol asset management."
165,Cooler Loans,cooler-loans,217470199.41,Lending,Ethereum,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/cooler-loans/index.js,,,,
166,Meteora DLMM,meteora-dlmm,209982689.91,Dexs,Solana,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/meteora-dlmm/index.js,,,,
167,Starknet Bridge,starknet-bridge,207898140.61,Canonical Bridge,Ethereum,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/starknet/index.js,,,,
168,Dswap,dswap,205038600.75,Dexs,ENI,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/registries/uniswapV2.js,,,,
169,GAIB,gaib,201822700.15,RWA,Ethereum;Sei;Arbitrum;Binance;Base;Story,gaib-ai,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/gaib/index.js,gaib-ai/symbiotic-super-sum,6,Solidity,Simple task-based network built with Symbiotic Relay
170,GMX V2 Perps,gmx-v2-perps,201611056.45,Derivatives,Arbitrum;Avalanche;MegaETH;Botanix,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/registries/gmx.js,,,,
171,Aerodrome Slipstream,aerodrome-slipstream,197026585.64,Dexs,Base,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/aerodrome-CL/index.js,,,,
172,Nexus BTC,nexus-btc,196891425.95,Bridge,Bitcoin,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/nexusbtc/index.js,,,,
173,Bitunix,bitunix,194758591.17,CEX,Bitcoin;Ethereum;Tron;Solana;Arbitrum;Base;Ripple;Binance;Avalanche;Polygon;TON;Cardano;Optimism;Litecoin,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/bitunix-cex/index.js,,,,
174,Tydro,tydro,193986612.71,Lending,Ink,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/registries/aaveV3.js,,,,
175,CoinEx,coinex,190643946.19,CEX,Bitcoin;Ethereum;Tron;Starknet,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/coinex/index.js,,,,
176,K3 Capital,k3-capital,190044299.73,Risk Curators,Ethereum;Monad;Plasma;Avalanche;Arbitrum;Binance;Unichain;BOB,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/k3/index.js,,,,
177,Solv Basis Trading,solv-basis-trading,189923447.14,Basis Trading,Binance;Arbitrum;Ethereum;Mantle;Polygon;Solana;Soneium;Merlin,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/solv-protocol-funds/index.js,,,,
178,VALR,valr,186418014.02,CEX,Bitcoin;Ethereum;Ripple;Tron;Solana;Avalanche;Binance,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/valr-cex/index.js,,,,
179,Bitrue,bitrue,184458137.6,CEX,Ripple;Ethereum;Hedera;Tron;Solana;XDC;Bitcoin;Binance;Flare;Cosmos;VeChain;Polygon;Mantle;Scroll;zkSync Era;Linea;Cardano;CORE;Taiko;Sui;Polkadot,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/bitrue-cex/index.js,,,,
180,Renzo,renzo,181301794.96,Liquid Restaking,Ethereum;Linea;Solana;Arbitrum;Zircuit;Monad;Mode;Base;Optimism;Blast;Fraxtal;Binance;Sei,Renzo-Protocol,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/renzo/index.js,Renzo-Protocol/contracts-public,13,Solidity,Renzo Protocol Public
181,Pareto Credit,pareto-credit,179838625.76,RWA Lending,Ethereum;Polygon;Arbitrum;Optimism,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/pareto/index.js,,,,
182,OnRe,onre,177733513.8,RWA,Solana,onre-finance,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/onre/index.js,onre-finance/jup-onyc-integration,4,Rust,Permissionless minting on Jupiter
183,Fraxtal,fraxtal,175123264.08,Chain,Ethereum,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/fraxtal/index.js,,,,
184,Yearn Finance,yearn-finance,174650718.47,Yield Aggregator,Ethereum;Katana;Base;Optimism;Polygon;Arbitrum;Fantom,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/yearn/index.js,,,,
185,Sanctum Infinity,sanctum-infinity,173396735.83,Dexs,Solana,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/sanctum-infinity/index.js,,,,
186,KPK,kpk,173046248.85,Risk Curators,Ethereum;xDai;Arbitrum;Binance;Base;Optimism;Polygon,karpatkey,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/kpk/index.js,karpatkey/kpk-token,11,Solidity,Repository containing the karpatkey governance token smart contract
187,Echo Bridge,echo-bridge,172138186.96,Bridge,BSquared;Bitcoin,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/echo-bridge/index.js,,,,
188,CoinDCX,coindcx,168864834.01,CEX,Bitcoin;Ethereum;Ripple;Cardano;Tron;Binance;Avalanche;Solana;Arbitrum;Polygon;Optimism;Fantom;Litecoin,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/coindcx/index.js,,,,
189,Tonstakers LSD,tonstakers-lsd,166047768.69,Liquid Staking,TON,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/tonstakers/index.js,,,,
190,EtherFi Borrowing Market,etherfi-borrowing-market,165183637.98,Lending,Optimism;Scroll,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/etherfi-cash-collateral-management/index.js,,,,
191,DigiFT,digift,165177526.45,RWA,Ethereum;Binance;Arbitrum;Plume Mainnet,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/DigiFT/index.js,,,,
192,Dolomite,dolomite,164755760.93,Lending,Ethereum;Berachain;Arbitrum;Mantle;Botanix;Polygon zkEVM;X Layer,dolomite-exchange,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/dolomite/index.js,dolomite-exchange/harvest-strategy-arbitrum,11,Solidity,Smart contracts for the Harvest Finance :tractor: ecosystem on Arbitrum
193,exSat Staking BTC,exsat-staking-btc,163618012.19,Bridge,Bitcoin,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/esbtc/index.js,,,,
194,Noble,noble,161835457.2,Chain,Noble,noble-assets,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/noble/index.js,noble-assets/cctp-contracts,12,Solidity,A simple CCTP TokenMessenger wrapper that stores IBC metadata.
195,NAVI Lending,navi-lending,160568391.5,Lending,Sui,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/navi/index.js,,,,
196,Mellow Core,mellow-core,159994838.75,Onchain Capital Allocator,Ethereum;RSK;Mezo;Monad,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/mellow-protocol-core/index.js,,,,
197,Liquity V1,liquity-v1,159230829.85,CDP,Ethereum,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/liquity/index.js,,,,
198,OpenTrade,opentrade,158817673.89,RWA,Avalanche;Plume Mainnet;Ethereum,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/opentrade/index.js,,,,
199,Aster asBNB,aster-asbnb,156817690.16,Yield,Binance,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/astherus-asBNB/index.js,,,,
200,RealT Tokens,realt-tokens,156794809.18,RWA,xDai,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/realt.js,,,,
201,PinkSale,pinksale,155862787.19,Launchpad,Binance;Ethereum;Polygon;Cronos;Avalanche;Fantom,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/pinksale/api.js,,,,
202,Stake DAO,stake-dao,155422011.46,Yield,Ethereum;Base;Arbitrum;Fraxtal;Polygon;Avalanche;Sonic;Optimism;Linea;xDai,stake-dao,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/stakedao/index.js,stake-dao/contracts-monorepo,18,Solidity,🤖 Monorepo of Stake DAO smart contracts
203,Extended,extended,153390214.85,Derivatives,Starknet;Ethereum,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/extended/index.js,,,,
204,Midas RWA,midas-rwa,152598662.38,RWA,Ethereum;Plasma;Monad;Base;Arbitrum;Hyperliquid L1;Binance;Etherlink;Flare;Plume Mainnet;RSK;Katana;Optimism;Solana;Sonic;Linea;Unichain;TAC;Avalanche;Mantle;Ink;Celo;Sei;Berachain;0G;Polygon;XRPL EVM;Sapphire;Bitcoin;Scroll;Sui,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/midas/index.js,,,,
205,stHYPE,sthype,152271472.89,Liquid Staking,Hyperliquid L1,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/staked-hype/index.js,,,,
206,Suilend,suilend,152179560.16,Lending,Sui,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/suilend/index.js,,,,
207,Yield Basis,yield-basis,152111555.4,Leveraged Farming,Ethereum,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/yield-basis/index.js,,,,
208,Kamino Liquidity,kamino-liquidity,151898919.01,Liquidity Manager,Solana,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/kamino/index.js,,,,
209,Hyperliquid Spot Orderbook,hyperliquid-spot-orderbook,151384874.1,Dexs,Hyperliquid L1,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/hyperliquid-spot-orderbook/index.js,,,,
210,Biconomy.com,biconomy.com,149617136.32,CEX,Ethereum;Polygon;Tron;Bitcoin,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/biconomy-cex/index.js,,,,
211,edgeX Bridge,edgex-bridge,148936112.8,Bridge,Ethereum;edgeX L1;Arbitrum;Binance,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/edgeX/index.js,,,,
212,Fluid Lite,fluid-lite,145641695.15,Yield Aggregator,Ethereum,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/instadapp-lite/index.js,,,,
213,Axelar,axelar,142908341.31,Bridge,Ethereum;Binance;Ripple;Optimism;Arbitrum;Fantom;Polygon;Regen;Osmosis;Kujira;Cosmos;Base;Avalanche;Persistence;Stride;Celestia;Agoric;Chihuahua;Secret;Sei;Stargaze;Juno;Mantle;XRPL EVM;Carbon;Umee;Blast;Migaloo;Archway;Dymension;Evmos;Injective;Neutron;Terra2;XPLA;Aurora;Immutable zkEVM;Celo;Kava;Moonbeam;Scroll;Linea;Fraxtal;Filecoin,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/axelar/index.js,,,,
214,EtherFi Cash Liquid,etherfi-cash-liquid,140112666.98,Crypto Card Issuer,Optimism;Scroll,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/etherfi-cash-liquid/index.js,,,,
215,Telos Consilium,telos-consilium,138772759.78,Risk Curators,Plasma;Ethereum,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/telosc/index.js,,,,
216,Doppler Finance,doppler-finance,138317338.33,CeDeFi,Ripple;Ethereum,girin-app,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/doppler-finance/index.js,girin-app/contracts,12,Solidity,
217,Lagoon,lagoon,138210588.19,Onchain Capital Allocator,Ethereum;Base;Arbitrum;TAC;Avalanche;Plasma;Linea;Monad;Optimism;Katana;Sonic;Mantle;Polygon;Berachain;World Chain;Unichain,hopperlabsxyz,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/lagoon/index.js,hopperlabsxyz/lagoon-v0,8,Solidity,
218,Mantle Index Four Fund,mantle-index-four-fund,137985011.47,RWA,Mantle,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/mi4/index.js,,,,
219,Vault Bridge,vault-bridge,137199055.52,Risk Curators,Ethereum,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/vault-bridge/index.js,,,,
220,Echo Lending,echo-lending,136022858.81,Lending,Aptos,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/echo-lending/index.js,,,,
221,Aerodrome V1,aerodrome-v1,135874515.29,Dexs,Base,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/registries/uniswapV2.js,,,,
222,Hyperlane,hyperlane,135666543.21,Cross Chain Bridge,Binance;Ethereum;Base;Arbitrum;Optimism;Hyperliquid L1;Polygon;Unichain;Ink;Plasma;Avalanche;BSquared;Metis;Blast;Mantle;Linea;Scroll;Mode;xDai;Zora;Mint;Celo;Sei;Sonic;Vana;Swellchain,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/hyperlane/index.js,,,,
223,zkSync Era txBridge,zksync-era-txbridge,135194385.38,Canonical Bridge,Ethereum,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/txBridge/index.js,,,,
224,Avalanche Core Bridge,avalanche-core-bridge,133347887.79,Canonical Bridge,Ethereum;Bitcoin,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/avax/index.js,,,,
225,UNCX Network V2,uncx-network-v2,127796507.05,Token Locker,Ethereum;Binance;Base;Polygon;Arbitrum;Avalanche;xDai,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/unicrypt/api.js,,,,
226,Phantom SOL,phantom-sol,126766742.44,Liquid Staking,Solana,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/registries/solanaStakePool.js,,,,
227,RockawayX,rockawayx,123901364.39,Risk Curators,Ethereum;Solana;Sei;Plume Mainnet;Binance;Etherlink,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/rockawayx/index.js,,,,
228,Aave V2,aave-v2,123892292.12,Lending,Ethereum;Polygon;Avalanche,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/aave/index.js,,,,
229,Tectonic,tectonic,121962077.34,Lending,Cronos,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/registries/compound.js,,,,
230,RAAC,raac,120799215.91,RWA,Ethereum,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/raac/index.js,,,,
231,Derive V2,derive-v2,119396302.44,Derivatives,Hyperliquid L1;Arbitrum;Optimism;Base;Ethereum;Blast;Mode,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/lyra-v2/index.js,,,,
232,OpenEden TBILL,openeden-tbill,119052866.5,RWA,Ethereum;Ripple;Solana;Arbitrum,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/openeden-tbill/index.js,,,,
233,Frax Ether,frax-ether,118913709.83,Liquid Staking,Ethereum;Fraxtal,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/frax-ETH/index.js,,,,
234,Chiliz Governance Staking,chiliz-governance-staking,118908014.49,Chain,Chiliz,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/chiliz-governance-staking/index.js,,,,
235,Polygon zkEVM Bridge,polygon-zkevm-bridge,117572582.07,Canonical Bridge,Ethereum,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/polygonZk/index.js,,,,
236,Beefy,beefy,117198415.06,Yield Aggregator,Ethereum;Base;Arbitrum;Fraxtal;Binance;Polygon;Optimism;Fantom;Avalanche;Cronos;Monad;Plasma;MegaETH;Metis;Sonic;Linea;xDai;Lisk;RSK;Berachain;Kava;Moonbeam;Moonriver;Aurora;Celo;zkSync Era;Fuse;Mantle;Mode;Oasis;Harmony;Sei;Scroll;Hyperliquid L1;Heco;Saga;Canto;re.al;Manta;Polygon zkEVM,beefyfinance,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/beefy/index.js,beefyfinance/beefy-contracts,14,Solidity,Public repo for the community devs to advance the Beefy protocol.
237,Compound V2,compound-v2,115362770.12,Lending,Ethereum,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/registries/compound.js,,,,
238,Benqi Lending,benqi-lending,115273126.69,Lending,Avalanche,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/benqi/index.js,,,,
239,Aster USDF,aster-usdf,114880546.06,Basis Trading,Binance,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/astherus-basis-trading/index.js,,,,
240,Theo Network thBill,theo-network-thbill,114711497.02,RWA,Ethereum;Arbitrum;Solana,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/theo-network-thbill/index.js,,,,
241,Saturn,saturn,114140131.67,Stablecoin Wrapper,Ethereum,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/saturn-protocol/index.js,,,,
242,VVS Standard,vvs-standard,113951357.95,Dexs,Cronos,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/registries/uniswapV2.js,,,,
243,The Vault Liquid Staking,the-vault-liquid-staking,111949530.55,Liquid Staking,Solana,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/registries/solanaStakePool.js,,,,
244,Bybit Staked SOL,bybit-staked-sol,111892565.63,Liquid Staking,Solana,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/registries/solanaStakePool.js,,,,
245,SUNSwap V3,sunswap-v3,111011304.11,Dexs,Tron,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/sunswap-v3/index.js,,,,
246,BloFin,blofin,110663967.76,CEX,Ethereum;Tron;Bitcoin;Solana;Ripple;Arbitrum;Binance;Base;Optimism;Polygon;Avalanche;Aptos;Cardano;Hyperliquid L1;Doge;TON;Sonic;Mantle;Berachain;Algorand;Litecoin,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/blofin-cex/index.js,,,,
247,Homora V2,homora-v2,110273717.07,Leveraged Farming,Ethereum;Binance;Avalanche;Fantom;Optimism,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/registries/deadAdapters.json,,,,
248,Project 0,project-0,110268137.21,Lending,Solana,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/p0/index.js,,,,
249,Bitlayer YBTC Family,bitlayer-ybtc-family,109203153.0,Anchor BTC,Bitcoin;Ethereum,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/bitlayer-btc/index.js,,,,
250,JPool,jpool,108957621.97,Liquid Staking,Solana,,False,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/registries/solanaStakePool.js,,,,
251,crvUSD,crvusd,103774066.93,CDP,Ethereum,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/crv-usd/index.js,,,,
252,Avalon CeDeFi,avalon-cedefi,103216408.17,Anchor BTC,Ethereum,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/avalon-finance-cedefi/index.js,,,,
253,Clearstar,clearstar,102947644.78,Risk Curators,Flare;Ethereum;Monad;Base;Hyperliquid L1;Hemi;Starknet;Arbitrum;Katana;Unichain;Polygon,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/clearstar/index.js,,,,
254,Ember Protocol,ember-protocol,102601883.06,Onchain Capital Allocator,Ethereum;Sui;Pharos,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/ember-protocol/index.js,,,,
255,Securitize Tokenized AAA CLO Fund,securitize-tokenized-aaa-clo-fund,101874404.91,RWA,Ethereum,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/stac-clo/index.js,,,,
256,Lofty,lofty,99665630.72,RWA,Algorand,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/lofty/index.js,,,,
257,dYdX V4,dydx-v4,99203670.61,Derivatives,dYdX,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/dydx-v4/index.js,,,,
258,Ourbit,ourbit,98743903.81,CEX,Bitcoin;Solana;Ethereum;Binance;Tron;Arbitrum;Avalanche;Optimism,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/ourbit/index.js,,,,
259,Usual USD0,usual-usd0,98168116.09,RWA,Ethereum,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/usual/index.js,,,,
260,River Omni-CDP,river-omni-cdp,97565670.94,CeDeFi,Binance;Base;BSquared;Ethereum;BOB;Bitlayer;Hemi;Arbitrum;X Layer;Sonic;BEVM;Bitcoin,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/satoshi-protocol/index.js,,,,
261,Stargate V2,stargate-v2,97177039.31,Cross Chain Bridge,Ethereum;Binance;Arbitrum;Base;Optimism;Scroll;Metis;Unichain;Avalanche;Mantle;Soneium;Linea;Abstract;Kava;Aurora;Swellchain;Sei;Polygon;xDai;Sonic;LightLink;Hemi;Manta;Stable,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/stargatefinance-v2/index.js,,,,
262,Nexus Mutual,nexus-mutual,96496527.08,Insurance,Ethereum,NexusMutual,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/nexus/index.js,NexusMutual/smart-contracts,7,JavaScript,
263,SoSoValue Indexes,sosovalue-indexes,95882836.06,Indexes,Bitcoin;Ethereum;Binance;Ripple;Solana;Doge;Cardano;Hyperliquid L1,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/ssi-protocol/index.js,,,,
264,Aera V3,aera-v3,95253000.43,Onchain Capital Allocator,Base;Ethereum,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/aera-v3/index.js,,,,
265,Blend Pools V2,blend-pools-v2,95205955.33,Lending,Stellar,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/blend-pools-v2/index.js,,,,
266,Reservoir Protocol,reservoir-protocol,95190196.63,CDP,Ethereum;Plasma;Monad;Berachain;Binance;Base;Arbitrum;Hyperliquid L1;Optimism;World Chain;Mantle;Katana,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/reservoir-protocol/index.js,,,,
267,Sky RWA,sky-rwa,95090279.43,RWA,Ethereum,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/maker-rwa/index.js,,,,
268,Railgun,railgun,93967675.99,Privacy,Ethereum;Polygon;Arbitrum;Binance,Railgun-Privacy;Railgun-Community,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/railgun/index.js,Railgun-Community/curve25519-scalarmult-wasm,4,Rust,
269,BYDFi,bydfi,92526941.96,CEX,Bitcoin;Ethereum;Ripple,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/bydfi/index.js,,,,
270,Flying Tulip Yield,flying-tulip-yield,92207025.21,Services,,,,,,,,
271,R25,r25,90888611.25,RWA,Pharos,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/registries/erc4626.js,,,,
272,Apollo Diversified Credit Securitize Fund,apollo-diversified-credit-securitize-fund,89774753.88,RWA,Ethereum;Aptos;Sei;Ink;Avalanche;Polygon;Solana,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/acred/index.js,,,,
273,BlazeStake,blazestake,89421232.16,Liquid Staking,Solana,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/registries/solanaStakePool.js,,,,
274,fx Protocol,fx-protocol,88898432.13,Dual-Token Stablecoin,Ethereum,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/fx-Protocol/index.js,,,,
275,Hyperithm,hyperithm,88813717.95,Risk Curators,Ethereum;Monad;Arbitrum;Plasma;Hyperliquid L1;Katana;XRPL EVM;Binance,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/hyperithm/index.js,,,,
276,Pleasing Gold,pleasing-gold,87873758.84,RWA,,,,,,,,
